idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,informational_support,emotional_support,esteem_support,tangible_support,network_support,support_needs
254183,Care to share your coping methods for suicide/depression?,"I often feel suicidal and depressed. I know that during those times it's not death I want, but a change for the better in my life. I have 3 steady coping mechanisms I use mainly:
1. I allow myself 5 minutes to sob about my life and then I write a gratitude list.
2. I tell myself that I'll miss Desperate Housewives
3. I put on extremely loud and fast music and jump around to it.

It's those first 20 minutes of the blues that I usually need to get through, then I see how to fix my problem. However, these don't seem to be working as X-mas and New Year's draw near. So please share with me your best coping mechanism for when you are feeling depressed or suicidal. Thank you.","There are a number of things to try:
* If this has been going on for more than two weeks, see a doctor.  Medication can help.
* Confide in someone, hopefully someone older and wiser.
* The music and exercise do help, actually, it's been proven, but it will help more if you do it steadily, like 30 minutes a day.  Don't wait until you're depressed to do it.
* Call a friend
* Try volunteer work - it will give meaning to your life.  You can find it through www.volunteermatch.com or by putting in your zip code to www.pointsoflight.org.  If you work with people who really have it tough, you'll have an easier time counting your blessings.
* Especially volunteer on Christmas Day.  It makes the day go faster.  If you can't figure out what to do, visit a nursing home or a veterans hospital.  They can really use you, and people will appreciate it.
* Look up a poem called ""Resume"" by Dorothy Parker: it will make you laugh!  Or try any kind of humor, jokes or cartoons.
* You need to get out of your head and off your pity party - you can change your life, but you need to choose to do so.

BTW, personally I give blood.  It makes me feel needed, that someone out there can live because I stick out my arm for a few minutes.  It also makes me appreciate that I'm healthy.",suicide/depression,,,,I often feel suicidal and depressed.,suicidal depression,I write a gratitude list,coping with suicidal depression,,,,,,,,,,,,,,,,,,Care to share your coping methods for suicide/depression?,Care to share your coping methods for suicide/depression?,,,,"Yes: You need to get out of your head and off your pity party - you can change your life, but you need to choose to do so."
3612197,Back injury pain?,"broke back, Jan 06,spinal fusion L5-S1 also laminectomy.april 06.  Now L5 radiulopothy(nerve damage). Also diagnosed with degenerative disk and joint disease.
Past 5 months horrifying pain in spine below where doctor did spinal fusion...goes down my butt crack tover my right hip bone and i can't hardly breath from the pain.....Can't sit or lay on my right side anymore..walking is horrifying as is moving....Right leg now grinds loudly now. Pain is burning and piercing in areas noted. Keep going to hospital....doctors WONT check out new area!!!!!! They ( and neurosurgon) keep telling me pain is not from lumbar surgury (they say spinal fusion took great). Keep putting me on temporary pain meds but nobody will look at the area that hurts. WHY???????????????????????????...
Could someone out there help me?????????? Does anyone have an answer? I thought about going to new hospital just so that someone will do an x-ray to see what the heck is wrong, is this a good idea?  anyone have any idea","My wife says,

""""You need to go somewhere that cares enough to give you a new x ray and an mri; seems like doctors are too busy to really care.""""",Back injury pain,,,NA,Can't sit or lay on my right side anymore..walking is horrifying as is moving....,pain,,,,,Keep putting me on temporary pain meds but nobody will look at the area that hurts.,pain,NA,NA,,,NA,,,,,,NA,NA,,Does anyone have an answer?,Could someone out there help me??????????,,,,"Yes: """"You need to go somewhere that cares enough to give you a new x ray and an mri;"
204097,Complicated Question Please Read Details If U Feel Like Answering it!!!!!?,"Allrighty! My best freind has been living with her father for 9 years. Also in this house are her two older brothers, on 17, one 21 (Jobless and he's a bum). Her Oldest brother recently attempted a THIRD sexual assault that the police refuse to investigate, because they claim that she's just seeing things. She then moved in with me for 7 months before I moved to a rural town in Nebraska to live and work on a farm for the remaining 5 months of the school year. She was then forced to move in with her mother T,T who has Manic Depressive disorder >.>She has been having alot of trouble dealing with her mother who is Mentally unstable,only works part time, and a fundamentalst Chjristian who follows the theory that god will always save u in the end...My Freind however is a noraml person with rational beliefs, she believes in god but doesn't go over board with it and she actually understands her mothers mental ilness, but her mother is driving her to the edge. With Stupid Rules. Do u have...","If she's old enough to move out then I'd say get out and live a stable life on her own. There is no reason that any one should have to put up with a brother who does things like that to them. Plus you sound lke a very nice friend to her, and if you are willing to listen and help her through all this then it's obvious you are a true friend! :) Good Job Buddy. But no seriously if I was her I'd move out as soon as I could, if no one believed me as far as the sexual assault then I'd never be alone with my brother. If she wasn't diagnosed with manic depression dissorder then she shouldn't worry 'bout it, but if she lives through this much longer she will go crazy, I know I would.",sexual assault,,,,,,,,,,"Her Oldest brother recently attempted a THIRD sexual assault that the police refuse to investigate, because they claim that she's just seeing things.",sexual assault,,,but her mother is driving her to the edge. With Stupid Rules,mother's manic depressive disorder,,,,,,,,,,,Do u have...,,,,Yes: There is no reason that any one should have to put up with a brother who does things like that to them.
3694681,Re-occuring back pain.?,"Hi.
I have had lower back pain now for 5 yrs & I'm sick of it. The doctor can't find anything wrong, the chriopracter (SP) keeps popping it at the same spot, but says everything is fine. The x-rays show nothing. I do exercises recommended by the chrio, wear heating pads (which helps some), & take advil. I've had an upper & lower GI done (nothing wrong), it is not gas, constipation, or cramps. I feel better when I wear a corset, which makes me think it might be bad posture, but I'm not sure how to fix that (yes I have a large chest, but not so large that according to doc to harm me). I am 10 lbs over weight for my height, & eat healthy.  The pain starts when I get up for the day & only sitting hunched in a chair do I feel it lessen.  If I try sit-ups or curls I'm unable to move. No injuries, no accidents.I'm still able to work & function, but I would like to fix this.  Does anyone have any serious answers or suggestions?","WEbMD states. """"Some exercises can aggravate back pain. If you have low back pain, avoid:

Straight leg sit-ups. 
Bent leg sit-ups or partial sit-ups (curl-ups) when you have acute back pain. 
Lifting both legs while lying on your back (leg lifts). 
Lifting heavy weights above the waist (standing military press or bicep curls). 
Toe touches while standing.""""  In fact, as you have found they can aggravate the pain. I have listed a few sites below with recommended exercises to help strengthen your low back muscles. Start out slow and do not push too fast. In addition, quit slumping. Poor posture does not help the problem and will cause other problems down the road. """"It's important that you don't let fear of pain keep you from trying gentle activity. You should try to be active soon after noticing pain, and gradually increase your activity level. Too little activity can lead to loss of flexibility, strength, and endurance, and then to more pain.

Exercises that may help reduce or prevent low back pain include:

Aerobic exercise, to condition your heart and other muscles, maintain health, and speed recovery. 
Strengthening exercises, focusing on your back, stomach, and leg muscles. 
Stretching exercises, which keep your muscles and other supporting tissues flexible and less prone to injury"""" (WebMD). 


http://orthoinfo.aaos.org/booklet/view_exercise.cfm?Thread_ID=18&topcategory=Spine

http://www.nismat.org/orthocor/programs/lowback/backex.html

http://www.back.com/articles-exercises.html",Re-occuring back pain,,,NA,,,,,,,,,,,I have had lower back pain now for 5 yrs & I'm sick of it.,lower back pain,NA,NA,,,,,"The doctor can't find anything wrong, the chriopracter (SP) keeps popping it at the same spot, but says everything is fine. The x-rays show nothing.",lower back pain,,Re-occuring back pain.?,Does anyone have any serious answers or suggestions?,,,,Yes: It's important that you don't let fear of pain keep you from trying gentle activity.
3888644,help with asthma?,"i'm on adviar 150/50, albutoral inhaler and clarinex-D. right now cuz my asthma is acting up so badly they are trying new meds and new treatments on me. the have tried predniosone and nebs and they dont' seem to be working. and if they do work it's only for a little while. i'm having attacks while i'm sleeping. i've also been knowen to stop breathing while sleeping. does anyone have like a miricle cure i wanna be able to go out soemewhere and not have to worry about and attack. can anyojne please help me ?have","what allergens are you specifically allergic to? step one is to avoid them.

what albuterol merely does is that it opens up your airway when you're having an asthma attack, but if you are constantly surrounded by these allergens, albuterol alone will not help. sounds like you need to be starting corticosteroids -- they help you tolerate the allergens that trigger the asthma attack but only a doctor will be able to prescribe that. try to learn more about corticosteroids and speak to your doctor if it would be a good way to go.

another option is to have yourself desensitized. my sister has a really bad case of asthma attacks when it comes to dust -- but dust is not something that we can avoid. she was also taking up steroids for it. it helped, but just a little -- hers was really a bad case of asthma. so we brought her to an allergy specialist. they did some tests to her to see where she is allergic most, and other allergens that she is allergic to. number 1 was dust, and pet dander was number 2. so the doctor started the therapy on her. every week she would come to his clinic, and the doctor would inject a (tolerable) allergen to her body, this would trigger her asthma of course so that's why every injection was followed by a nebulizer therapy. for 3 months, she did this -- every week, allergens are injected and as she became more immune to it, the dosage (allergen) increased as well, until she was able to tolerate it. it is very effective and so far she has not had any asthma attacks -- when it comes to dust, pet dander still triggers it. we did that about 6 years ago in our country, so i don't know if it is practiced here in this country.",asthma,,,,,,,,does anyone have like a miricle cure i wanna be able to go out soemewhere and not have to worry about and attack.,severe asthma,,,,,,,,,,,,,,,,help with asthma?,does anyone have like a miricle cure i wanna be able to go out soemewhere and not have to worry about and attack.,,,,No
3428093,Am I Covered In Cancer?? SERIOUS ANSWERS ONLY PLZ!!?,"im only 16 years old.. but im scared i may have a few types of cancer..2 are concernin me most.

For a few years now, (Probly 3- 4) i have had a lump in each breast. i read that when your breasts start to develop grow ""buds"" which feel like lumps. but i havent really grown. im still very flat chested (30A). & the lumps have changed in size, sometimes they feel small sumtimes larger & they hurt too. 

I have also noticed that when i go to the toilet, i sometimes have blood in my faeces & i have heard this is a sign of bowel cancer. i also sometimes have problems such as stomach problems and irritations when using the toilet. 

& i have looked up throat cancer, & i have some of the symptoms shown, such as painful swallowing etc.

im 2 scared 2 go 2 the doctors. does anyone know how they test 4 cancer in these cases?

i know im only 16  &most ppl with cancer r older. but my friend knows a girl who had breast cancer at 17. 

and there have been 6 cases of cancer in my family.","Well, you probably should get to the doctor.  I know it's scary but the earlier you detect a cancerous growth the better -- it can be removed, you can receive treatment and you can recover faster.  But, what if you don't have cancer?  Then all of this worrying yourself and stress will be for nought.  That is why it is best for you to see a doctor.  Do you have a family doctor?  Someone you feel comfortable with?  How about starting at school and discussing these things with the school nurse?  You're old enough to have a gynecologist -- do you have one yet?  Well, before you make yourself crazy with worry... really, talk to someone and see a doctor about your symptoms.

As for your issues.  Maybe those lumps in your breast are actually breast development.  I can't remember how long the ""buds"" stage was supposed to last but... it sounds familiar. When you say that they feel small, sometimes larger and sometimes sore, have you noticed the soreness and size change around PMS time?  Maybe it's very normal.

Blood in your #2.  Is it a lot of blood?  You may have developed an ulcer from worrying yourself so much.  Blood in the stool is often a sign of ulcers.  You may also have simply BM issues and have irritated your um, bum.  There are tests that I think you can buy from any pharmacy (I think that you have to ask the pharmacist because they keep them at the counter) -- but there is a test you can buy to test your #2.  I think that you send a sample (like a dipped sample or smear sample) to a lab on the package and they can make basic, early colon cancer determinations.  Ask your local pharmacist.  

Throat cancer?  I don't know anything about this except that you should see a doctor.  I suspect that you have a touch of hypochondria going on here and that you may have psychosomatically given yourself some symptoms that are simply worry-symptoms.  For the cases of throat cancer that I've heard of, I think that the people were very heavy smokers. 

Because you have had cancer in your family, it is good and prudent to be aware of the genetic odds of it traveling in your genes.  However, I caution you about getting too worried about these issues without getting professional advice.  Mind over matter -- *think* yourself healthy and your body will respond.",cancer,12-17 years old,Female,,,,,,im scared,cancer,,,,,,,,,,,,,im 2 scared 2 go 2 the doctors,doctors,,,does anyone know how they test 4 cancer,,,,Yes: I know it's scary 
3513536,why is my ob/gyn keeping me on birth control pills?,"my ob/gyn found that i have ovarian cysts, then found out that i am also anemic. he decided to keep an eye on my cysts for awhile to see if they go away on there own instead of removing them right away. i had an iud and because of the heavy periods, he put me on birth control pills and removed the iud to help clear my anemia. this has all happened within 5 months or so. i am really unhappy with taking pills - i don't like the hormonal changes that have been taking place in my body. seriously, im to the point where id rather die than to take these damn pills, but he will not let me stop taking them. he told me that he wants to get ahold of the situation with my cysts first. what the hell do the pills have to do with my cysts?? does anyone know??","It's your call.  IF YOU DON'T WANT TO TAKE THE PILLS, THEN DON'T.  I mean really, is he standing there ramming them down your throat or something?
Get a second opinion if you are uncomfortable with this doctor.  HE IS THE ONE THAT SHOULD BE ANSWERING YOUR QUESTIONS.  This is YOUR body and if you aren't comfortable with the one who is supposed to be helping you take care of it, then find someone that you are comfortable with.",birth control pills,,Female,NA,i am really unhappy with taking pills,taking pills,,,,,,,,,,,NA,NA,,,,,"seriously, im to the point where id rather die than to take these damn pills, but he will not let me stop taking them.",taking pills,,why is my ob/gyn keeping me on birth control pills?,does anyone know??,,,,"Yes: This is YOUR body and if you aren't comfortable with the one who is supposed to be helping you take care of it, then find someone that you are comfortable with."
3834480,How do I regain my energy?,"Due to a recent rediculously random deadline schedule in my Macroeconomics class, I've gotten completely burnt out on schoolwork. Now, whenever I look at a textbook or computer screen my energy is instantly zapped. I even missed having a formal birthday party and had to postpone opening up my gifts for atleast 3 weeks because I've been working so much trying to stay ahead in all of my classes. 

Physically, I have tension and sinus headaches, I'm fatigued throughout the day regardless of how much sleep I get, I'm starting to get really frequent flashes of light in my vision, occasional blurred vision, I can't concentrate or focus on my studies for periods longer than 5 minutes, insomnia, and slight depression because all of this is preventing me from staying ahead in my studies. 


What can I do to get back on track and regain my energy?","I would advice Vitamin B12,  along with multivitamins.. and try to eat more of a balanced diet.. many students end up eating junk food due to time constraints.  if your trying to live on Coffee and Sugar you will have a temporary energy burst which will fade in approx. 1 to 3 weeks.  afterwhich you will begin to crash.. this is due to a combination of physical stress on the body, build up of wastes and Free Radicals, and Vitamin Deficiencies.  B12, Green Tea or Earl Grey Tea and multi vitamins will give you a temporary boost until you can get proper sleep and proper nutrition.",regain my energy,,,NA,"I'm fatigued throughout the day regardless of how much sleep I get, I'm starting to get really frequent flashes of light in my vision, occasional blurred vision, I can't concentrate or focus on my studies for periods longer than 5 minutes, insomnia, and slight depression because all of this is preventing me from staying ahead in my studies.",energy,,,,,,,,,,,NA,NA,,,,,,,,What can I do to get back on track and regain my energy?,"Due to a recent rediculously random deadline schedule in my Macroeconomics class, I've gotten completely burnt out on schoolwork.",,,,Yes: many students end up eating junk food due to time constraints
1148707,give me your opinion on this matter?Its weird and it has bothered me for 3 years.I fgure it cant be heart?,"About three years ago I started waking up in middle of night and trying to catch my breath.I started having chest pains below my breast bone and around my heart.I went to doctor and he did gastrology test.Nothing.It continued around times that were stressful like arguing with co workers or other things.I went to hospital two times.They checked my xray and gall bladder nothing.Last year they checked my heart with stress test and the dye exam.Nothing!!!Well im relieved it isnt my heart but I cant figure it out.I have been on everything from nexium to prilosec.I just started taking blood pressure pills because it has gone up since this started.My symptoms include sweaty hands,heavy feeling around breast bone and chest, pain in lower back, light headed......could this be a panic attack.Ive seen 3 doctors so far and nothing.","Panic attacks often mimic heart attacks. That's why they can be so darn scary. But it's better to go to the hospital just to be sure. They would rather see you there with a panic attack than to have you second-guess and be wrong. Are you male or female? Often doctors don't take female symptoms as seriously because they think only men get heart disease. If you wake up in the middle of the night trying to catch your breath, you may have sleep apnea. That's when you stop breathing for several seconds and up to a minute. This can cause heart problems. So talk to your doctor about testing at a sleep clinic. (Do you snore?? That often accompanies sleep apnea.) I know it's frustrating to go to the doctor so often and to find nothing wrong. To learn more about panic attacks, go to the link below. You can also do a search on sleep apnea. If you think it could be panic attacks, there are medications you can take to control them... the SSRI class of medications. Talk to your doctor, or better, to a psychiatrist. That's a medical doctor with special training in emotional issues. They can diagnose conditions and prescribe appropriate medications. Good luck. You will be fine.","heart, symptoms",,,NA,weird and it has bothered me,"I cant figure it out, My symptoms",im relieved,it isnt my heart,,,,,,,,,,,,,,,,,,give me your opinion on this matter?,give me your opinion on this matter?,,,,"Yes: I know it's frustrating to go to the doctor, Good luck. You will be fine."
3169648,Could this be essential tremor?,"I'm a senior in high school. My hands are always shaking. They are not shaking as much when I'm not in a situation that requires fine moter skills, or when I'm not in a stressful situation, but they still shake enough for some people to notice. I have had this problem for many years, but it just recently started bothering me as people just started bringing it to my attention. Also, recently I have noticed that my head will occasionally have some random jerkey movements. Could it be ET or something else. If so, should I get checked out by a doctor or is it a little too trivial for that. It's not really really severe shaking like I've seen people with parkinson's shake, but it still causes me to spill things, etc.","Do you have someone in your family with ET? It is transfered, specialy from a mother's side....If you have a history it could be ET. It sounds like that, only thing is that during stress, excitment (positive and negative) you should shake more...",hands are always shaking.,,,NA,,,,,,,,,,,it just recently started bothering me as people just started bringing it to my attention.,My hands are always shaking,NA,NA,,,,,,,,"Could it be ET or something else. If so, should I get checked out by a doctor or is it a little too trivial for that.","have had this problem for many years, but it just recently started bothering me as people just started bringing it to my attention",,,,No
1496858,My boyfriends son suffers from depression and anxiety.?,"He NEVER has eaten fruits or vegetables doesn't drink juice and does not take any vitamin supplements. He is 9 years old. They want to treat him with medication but I believe it is caused by lack of the proper nutrients.  He always has stomachaches and does not want to go anywhere or do anything and has no friends. I have watched this develop for the past 4 years, getting worse by the day.  What advice can I offer.  I've tried to feed him fruits and veggies but he won't eat them.  He is also slow with his hand coordination and his speech sounds like a 4 year old.  What can I do.  This has affected everyone around him.  We are all stressed.  We have become prisoners to how HE feels.  What can we do?","try sneaking the fruits and vegetables into food he likes...pizza, spaghetti, jello, even icecream, give him foods that have a lot of vitamins in them, such as cereal and whole grain breads, since you are so concerned about his diet.
he also needs professional help.  it sounds like he is already receiving this, but, if not, he needs to talk to a therapist, even if his problems are nutritional.  after four years, it has probably developed into a more serious problem, and simply feeding him fruit won't fix everything.  now, i'm not endorsing the use of drugs, especially in someone so young, but they may be helpful if other treatments, such as counseling, diet & exercise changes, and behavioral therapy don't seem to work.  has he been diagnosed by a professional, or do you just think that he has depression and anxiety? he may have a learning disability, OCD, and/or social development problems, as well as the depression/anxiety. before treatment begins, he needs a definite diagnosis.  also, if he was diagnosed years ago, his problems may have changed or he may have developed new issues (this is fairly common).  find a psychiatrist that he and his father feel comfortable with, and follow their suggestions.  talk with a nutritionist and the boy's doctor about his diet, maybe they could explain to him how important eating healthy is, and what will happen if he doesn't, then tell him (and you) how to change eating habits.  set a good example for him, and offer healthy snacks after school.  it sounds like he does have a psychological problem, as well as a nutritional one, and he needs treatment for both.  make sure the therapist (find one that specializes in children) knows of your concerns about his diet, this is important information, and may dictate the proper treatment.
oh, and the physical problems, such as stomach aches, may actually be caused by depression. i know it sounds odd, but it's true.  the prolonged stress and sadness can cause stomach problems, headaches, clumsiness, etc.
good luck to all of you!",depression and anxiety,,,,We are all stressed.  We have become prisoners to how HE feels.,My boyfriends son,,,,,,,,,,,They want to treat him with medication but I believe it is caused by lack of the proper nutrients.,lack of the proper nutrients.,,,,,,,,What advice can I offer.  /  What can I do.,"have watched this develop for the past 4 years, getting worse by the day.",,,,"Yes: i know it sounds odd, but it's true.  the prolonged stress and sadness can cause stomach problems, headaches, clumsiness, etc. good luck to all of you!"
1862992,A symptom of PCOS?,"Can anyone tell me if they had some or silimar experiences with male pattern hair around your face,chest and stomach due to PCOS? If so,can you please share with me what your doctor did and what treatments could help.My doctor is treating me with PCOS and has me on metformin,methotrexate progesterone and clomid to help with funcuality of having regular menses and to help ovulate however,my doctor told me a determologist or a endrocrinolist will have to check into more precise levels to see what is going on.I will not see a specialist until the beginning of the year and having this is embarassing as I have to pluck each time I see a hair.","I have mild PCOS, not many symptoms, but enough.  I had alot of hair under my chin and inching towards my neck, so instead of going on more drugs that don't work, I opted to go to an electrologist, and now all that hair is gone.  I had alot, so it took me multiple visits of 30 minutes, 1 visit every 2-4 weeks, so it took me in  all less than one year.  Now she's doing my mustache.  I don't have any hair on my chest or stomach though, but electrologists should be able to deal with that.  I used to pluck, but it was like a zillion hairs i'd be plucking, and shaving didn't really work too well either, and that cream that can be prescribed, that works even less than shaving, it's bogus.  Good luck.",polycystic ovary syndrome,,,,I will not see a specialist until the beginning of the year and having this is embarassing as I have to pluck each time I see a hair.,PCOS symptom/side effect of PCOS treatment,,,,,,,,,,,,,,,,,,,,"Can anyone tell me if they had some or silimar experiences with male pattern hair around your face,chest and stomach due to PCOS?",having this is embarassing as I have to pluck each time I see a hair.,,,,Yes: Good luck.
524422,"How do you differentiate between Oppositional Defiant Disorder and normal """"bad"""" behavior in 3.10 year old boy?","My son is getting angry a lot, hitting, spitting, kicking, bad attitude , etc when asked to do things he doesn't want to do like clean up, for example.  He is the same with parents, teachers and babysitters.  However, he is pleasant at most other times.  I wonder when the DSM-IV criteria kicks iin.  Does it have to be constant behavior or is it a certain degree of behavior that makes this something other than a """"phase""""?  He has a 9 month old brother as well.  He also scrams a lot.  I think its for attention ,but who knows.","three year olds could have lots of different disorders but hes only 3, and i dont think kids should even need to be considered to have a disorder like odd or add or anything like that until there alot older like after 4th grade. hes only three and i think unless your really worried that he could hurt someone or hurt himself you shouldnt worry about it until hes older. please dont get him mixed up with evaluations for disorders. some of those meds can really mess up little kids. its probably just a phase and if you think it might be odd the symptoms have to be there for over 6 months",DSM-IV,,,NA,,,he is pleasant at most other times.,My son,,,"My son is getting angry a lot, hitting, spitting, kicking, bad attitude , etc when asked to do things he doesn't want to do like clean up",Oppositional Defiant Disorder,,,,,NA,NA,,,,,,,,"I wonder when the DSM-IV criteria kicks iin.  Does it have to be constant behavior or is it a certain degree of behavior that makes this something other than a """"phase""""?","He has a 9 month old brother as well.  He also scrams a lot.  I think its for attention ,but who knows.",,,,Yes: hes only three and i think unless your really worried that he could hurt someone or hurt himself you shouldnt worry about it until hes older.
4328517,My son's penis is 1inchin normal and 2 incheson erection.He is 30.Could he ever marry?,"He was affected by post polio residual paralysis during pregnancy.It took nearly 3 years for doctors after his birth to pronounce what was wrong with the child.He is now 6feet tall, very manly and hefty,but for the growth of his penis.Can any doctor or any competent person who sees this question could tell me whether there is any treatment that would make the penis to grow to normal size? I would ever remain grateful for your right suggestions.Thankyou.","His ability to marry has nothing to do with the size of his member. Rather his ability to marry is only limited by his ability to create and sustain a loving relationship with someone. 

As for sexual matters, there are many things a man can do to please a partner that do not require a penis, and there are many women who prefer these things over simple intercourse. 

It may take time for him to find a good partner, but then it takes time for all of us to find the person we want to spend our lives with.  You can help him best by encouraging him to stay hopeful, to stay open to finding someone, and to accepting that there is someone out there who can accept and love him as he is.",penis,75 years or older,,"(Oops, again, I am sorry. Could you delete the age, please?)",He was affected by post polio residual paralysis during pregnancy.,growth of his penis,,,,,,,,,,,,,,,,,,,,Can any doctor or any competent person who sees this question could tell me whether there is any treatment that would make the penis to grow to normal size?,He was affected by post polio residual paralysis during pregnancy,,,,"Yes: His ability to marry has nothing to do with the size of his member. / You can help him best by encouraging him to stay hopeful, to stay open to finding someone, and to accepting that there is someone out there who can accept and love him as he is."
2822108,help me now!!!!!!!!!!?,"first off, i have my period between the first 7days of the month. on april, i finished on the 8th and then i started taking the pill on the 10th. i usually take the pill every morning (between 0900h-1000h) until i travelled and lost track of time. basically, i took the pill on thursday the 13th at 0930h and friday the 14th at 1900h. Between those hours, we had sex. since yesterday, my breasts are really sensitve and my nipples are somewhat painful. i was also sleeping all day because of a headache. Is it possible that i ovulate and get pregnant in that situation? Is it possible that i am experiencing pregnancy symptoms at this early stage? How can i tell if i am pregnant this early? if so, i had been taking pills in the last 5days, will that affect the fetus? should i stop taking pills?
NOTES:
I smoke occasionally
I hardly/ almost never have breast pains. 
I am expecting my period in about 12-14days","Chances are slim to none that you are pregnant.  It could very well be symptoms of the pill affecting you, or the traveling the different climates and what not.  When I was on the pill I had some severe symptoms that were like pregnancy ones but weren't, the dosage was just to high for my body, so I had to switch to a lighter dosage.  Also there were times when I forgot to take the pill a couple days in a row and had sex within those days but never got pregnant.  I could be wrong cause the pill is not 100% safe towards pregnancy. I would continue with the pill if I were you and wait to see if you get your next period.  If not consult your doctor and go from there.  Good Luck!
P.S. A pregnancy test isn't all that accurate until closer till your missed period so that wont help much now anyway.",,,Female,,,,,,help me now!!!!!!!!!!?,pregnancy symptoms,,,,,,,,,"Is it possible that i ovulate and get pregnant in that situation? Is it possible that i am experiencing pregnancy symptoms at this early stage? How can i tell if i am pregnant this early? if so, i had been taking pills in the last 5days, will that affect the fetus? should i stop taking pills?",sex / pregnancy symptoms,,,,,,"Is it possible that i ovulate and get pregnant in that situation? Is it possible that i am experiencing pregnancy symptoms at this early stage? How can i tell if i am pregnant this early? if so, i had been taking pills in the last 5days, will that affect the fetus? should i stop taking pills?",help me now!!!!!!!!!!?,,,,"Yes: When I was on the pill I had some severe symptoms that were like pregnancy ones but weren't, the dosage was just to high for my body, so I had to switch to a lighter dosage.  /  I would continue with the pill if I were you and wait to see if you get your next period.  If not consult your doctor and go from there.  Good Luck!"
4019382,chemical burn?,"my son had eczema on his face, head and neck. The Dr. prescribed a topical cream (pramoxine with 2.5% hydrocortizone). I applied the cream and his face dried out and peeled for the most part, leaving a lighter shade than the rest of his face that did not get treated. will his complexion return to one tune like before, or is this going to be perminent. It looks as if he's been burned :( HELP ME someone.","Oh...poor little guy.  I'm sure it will return to normal.  The healing power of children is remarkable, as you know.  Maybe the doctor can prescribe another cream that will assist in the healing process?  Otherwise, I would use a regular face moisturizer to help it even out....good luck.",lighter shade than the rest of his face,,,,,,,,is this going to be perminent,lighter shade than the rest of his face,,,,,,,,,,,,,,,,,HELP ME someone.,,,,Yes: Oh...poor little guy.  I'm sure it will return to normal.  
3526339,help me!!!!!!!!!!!!!!?,"I was on birth control for only 2 weeks, and I didn't get my period right away..I had some spotting, and then started really bleeding 9 days later..it lasted 5 days. I had unprotected sex with the withdrawal method on the 3rd day of my period. I have been cramping off and on since the day my period stopped. I had very bad cramping this past weekend and have had alot of of clear discharge ( it is now kind of white and crusty, and more dry)  with alot of pains in the ovaries..so now I am completely freaked out. Was it just withdrawal bleeding or a actually period because it took so long? so now I am afraid I am pregnant! I don't know if I am just making my symptoms worse with worrying or if they are really happening..its been a week in a half since intercourse and I have horrible heartburn and dizziness..but I have also been suffering from a sinus infection the last week..So I dunno if it my anxiety or what..anybody have any ideas? I just really want to start my new bc=/","No ten to one you not pregnant.. Go get a home test and check anyway. Pre ejaculation does exsist and you wrent on you pill long enough for it to really work. The cramping does also happen because your body isnt used to the pill and amounts of hormones pushed into your body. Stop stressing, the best thing to do is go get a pregnancy test and use condoms in future for dismmisal of this problem!",pregnant,,Female,,,,,,completely freaked out,pregnant,,,,,,,,,,,,,,,,,help me!!!!!!!!!!!!!!?,,,,"Yes: Stop stressing, the best thing to do is go get a pregnancy test "
356598,what are the symtoms for pnemonia?,"i have had a cold maybe touch of flu not sure, have not gone to dr. yet i was not feeling well for first three days then not so bad for a couple more then yesterday i just felt real bad fevers chills not much of a cough, or runny nose but lots of stuffy in the head and,fever, ache's and my back is killing me in the area of my lungs and arm pits those are glands i am sure, if some one could just please let me know what symtoms are??? help please i dont want to go to emergency room unless i have too cost to much for just a cold with aches and pains. thank so much..","Bad cough and you would feel much worse than you are describing.You would feel like a mule kicked you in the chest and think you were coughing up your lungs.Most people know it is something serious,your fever will make you feel bad but it is nothing like pneumonia.Be careful it could progress,seek med.attention if condition worsens.",pnemonia,,,NA,,,,,"then not so bad for a couple more then yesterday i just felt real bad fevers chills not much of a cough, or runny nose but lots of stuffy in the head and,fever, ache's and my back is killing me in the area of my lungs and arm pits those are glands i am sure",touch of flu not sure,,,,,,,NA,NA,,,,,,,,if some one could just please let me know what symtoms are???,help please i dont want to go to emergency room unless i have too cost to much for just a cold with aches and pains.,,,,"Yes: Be careful it could progress,seek med.attention if condition worsens."
